DeliveryDate,HourEnding,AncillaryType,MCPC,DSTFlag,Month
2024-04-02,01:00,RRS,1.0,N,2024-04
2024-04-02,01:00,REGUP,1.25,N,2024-04
2024-04-02,01:00,NSPIN,0.93,N,2024-04
2024-04-02,01:00,REGDN,1.51,N,2024-04
2024-04-02,01:00,ECRS,0.06,N,2024-04
2024-04-02,02:00,NSPIN,0.94,N,2024-04
2024-04-02,02:00,RRS,0.99,N,2024-04
2024-04-02,02:00,REGUP,1.24,N,2024-04
2024-04-02,02:00,REGDN,1.25,N,2024-04
2024-04-02,02:00,ECRS,0.06,N,2024-04
2024-04-02,03:00,REGDN,0.89,N,2024-04
2024-04-02,03:00,REGUP,1.15,N,2024-04
2024-04-02,03:00,RRS,0.99,N,2024-04
2024-04-02,03:00,NSPIN,0.99,N,2024-04
2024-04-02,03:00,ECRS,0.7,N,2024-04
2024-04-02,04:00,REGDN,1.01,N,2024-04
2024-04-02,04:00,REGUP,1.25,N,2024-04
2024-04-02,04:00,RRS,0.99,N,2024-04
2024-04-02,04:00,NSPIN,0.99,N,2024-04
2024-04-02,04:00,ECRS,0.7,N,2024-04
2024-04-02,05:00,REGUP,1.32,N,2024-04
2024-04-02,05:00,REGDN,0.49,N,2024-04
2024-04-02,05:00,RRS,0.99,N,2024-04
2024-04-02,05:00,ECRS,0.06,N,2024-04
2024-04-02,05:00,NSPIN,0.99,N,2024-04
2024-04-02,06:00,NSPIN,0.99,N,2024-04
2024-04-02,06:00,RRS,0.99,N,2024-04
2024-04-02,06:00,REGUP,1.79,N,2024-04
2024-04-02,06:00,REGDN,1.27,N,2024-04
2024-04-02,06:00,ECRS,0.83,N,2024-04
2024-04-02,07:00,NSPIN,2.0,N,2024-04
2024-04-02,07:00,RRS,1.2,N,2024-04
2024-04-02,07:00,REGUP,1.66,N,2024-04
2024-04-02,07:00,REGDN,1.59,N,2024-04
2024-04-02,07:00,ECRS,0.86,N,2024-04
2024-04-02,08:00,REGDN,1.51,N,2024-04
2024-04-02,08:00,REGUP,1.55,N,2024-04
2024-04-02,08:00,RRS,1.25,N,2024-04
2024-04-02,08:00,NSPIN,2.45,N,2024-04
2024-04-02,08:00,ECRS,1.2,N,2024-04
2024-04-02,09:00,REGDN,1.97,N,2024-04
2024-04-02,09:00,NSPIN,2.0,N,2024-04
2024-04-02,09:00,RRS,1.5,N,2024-04
2024-04-02,09:00,REGUP,1.69,N,2024-04
2024-04-02,09:00,ECRS,2.0,N,2024-04
2024-04-02,10:00,NSPIN,1.8,N,2024-04
2024-04-02,10:00,RRS,1.5,N,2024-04
2024-04-02,10:00,REGUP,1.5,N,2024-04
2024-04-02,10:00,REGDN,1.76,N,2024-04
2024-04-02,10:00,ECRS,1.8,N,2024-04
2024-04-02,11:00,NSPIN,1.5,N,2024-04
2024-04-02,11:00,RRS,1.01,N,2024-04
2024-04-02,11:00,REGUP,1.49,N,2024-04
2024-04-02,11:00,REGDN,1.53,N,2024-04
2024-04-02,11:00,ECRS,1.49,N,2024-04
2024-04-02,12:00,REGDN,1.5,N,2024-04
2024-04-02,12:00,REGUP,1.49,N,2024-04
2024-04-02,12:00,RRS,1.01,N,2024-04
2024-04-02,12:00,NSPIN,1.51,N,2024-04
2024-04-02,12:00,ECRS,1.51,N,2024-04
2024-04-02,13:00,REGDN,1.49,N,2024-04
2024-04-02,13:00,REGUP,1.36,N,2024-04
2024-04-02,13:00,RRS,1.01,N,2024-04
2024-04-02,13:00,NSPIN,1.5,N,2024-04
2024-04-02,13:00,ECRS,1.15,N,2024-04
2024-04-02,14:00,NSPIN,1.5,N,2024-04
2024-04-02,14:00,ECRS,1.49,N,2024-04
2024-04-02,14:00,RRS,1.01,N,2024-04
2024-04-02,14:00,REGDN,1.49,N,2024-04
2024-04-02,14:00,REGUP,1.49,N,2024-04
2024-04-02,15:00,REGDN,1.7,N,2024-04
2024-04-02,15:00,REGUP,1.77,N,2024-04
2024-04-02,15:00,RRS,1.44,N,2024-04
2024-04-02,15:00,NSPIN,1.5,N,2024-04
2024-04-02,15:00,ECRS,1.73,N,2024-04
2024-04-02,16:00,NSPIN,1.85,N,2024-04
2024-04-02,16:00,RRS,1.5,N,2024-04
2024-04-02,16:00,REGUP,1.97,N,2024-04
2024-04-02,16:00,REGDN,1.98,N,2024-04
2024-04-02,16:00,ECRS,1.96,N,2024-04
2024-04-02,17:00,REGDN,1.91,N,2024-04
2024-04-02,17:00,REGUP,1.98,N,2024-04
2024-04-02,17:00,RRS,1.5,N,2024-04
2024-04-02,17:00,NSPIN,1.85,N,2024-04
2024-04-02,17:00,ECRS,2.0,N,2024-04
2024-04-02,18:00,REGDN,1.97,N,2024-04
2024-04-02,18:00,REGUP,1.98,N,2024-04
2024-04-02,18:00,RRS,1.5,N,2024-04
2024-04-02,18:00,NSPIN,2.22,N,2024-04
2024-04-02,18:00,ECRS,2.22,N,2024-04
2024-04-02,19:00,NSPIN,1.02,N,2024-04
2024-04-02,19:00,RRS,1.25,N,2024-04
2024-04-02,19:00,REGUP,4.75,N,2024-04
2024-04-02,19:00,REGDN,2.97,N,2024-04
2024-04-02,19:00,ECRS,1.25,N,2024-04
2024-04-02,20:00,REGUP,10.35,N,2024-04
2024-04-02,20:00,REGDN,3.3,N,2024-04
2024-04-02,20:00,RRS,9.0,N,2024-04
2024-04-02,20:00,NSPIN,3.0,N,2024-04
2024-04-02,20:00,ECRS,10.0,N,2024-04
2024-04-02,21:00,REGDN,4.98,N,2024-04
2024-04-02,21:00,REGUP,7.23,N,2024-04
2024-04-02,21:00,RRS,7.23,N,2024-04
2024-04-02,21:00,NSPIN,6.0,N,2024-04
2024-04-02,21:00,ECRS,10.0,N,2024-04
2024-04-02,22:00,REGUP,3.22,N,2024-04
2024-04-02,22:00,REGDN,3.15,N,2024-04
2024-04-02,22:00,RRS,2.7,N,2024-04
2024-04-02,22:00,ECRS,16.23,N,2024-04
2024-04-02,22:00,NSPIN,14.75,N,2024-04
2024-04-02,23:00,REGDN,3.49,N,2024-04
2024-04-02,23:00,REGUP,5.33,N,2024-04
2024-04-02,23:00,RRS,5.0,N,2024-04
2024-04-02,23:00,NSPIN,8.49,N,2024-04
2024-04-02,23:00,ECRS,8.49,N,2024-04
2024-04-02,24:00,REGDN,2.0,N,2024-04
2024-04-02,24:00,REGUP,3.0,N,2024-04
2024-04-02,24:00,NSPIN,6.81,N,2024-04
2024-04-02,24:00,RRS,2.79,N,2024-04
2024-04-02,24:00,ECRS,3.79,N,2024-04
2024-04-03,01:00,REGDN,1.51,N,2024-04
2024-04-03,01:00,REGUP,1.34,N,2024-04
2024-04-03,01:00,RRS,1.01,N,2024-04
2024-04-03,01:00,NSPIN,0.92,N,2024-04
2024-04-03,01:00,ECRS,0.05,N,2024-04
2024-04-03,02:00,REGDN,1.32,N,2024-04
2024-04-03,02:00,REGUP,1.34,N,2024-04
2024-04-03,02:00,RRS,1.01,N,2024-04
2024-04-03,02:00,NSPIN,0.93,N,2024-04
2024-04-03,02:00,ECRS,0.05,N,2024-04
2024-04-03,03:00,REGUP,1.25,N,2024-04
2024-04-03,03:00,REGDN,0.76,N,2024-04
2024-04-03,03:00,RRS,1.0,N,2024-04
2024-04-03,03:00,ECRS,0.05,N,2024-04
2024-04-03,03:00,NSPIN,0.98,N,2024-04
2024-04-03,04:00,REGDN,0.66,N,2024-04
2024-04-03,04:00,REGUP,1.33,N,2024-04
2024-04-03,04:00,RRS,1.0,N,2024-04
2024-04-03,04:00,NSPIN,0.98,N,2024-04
2024-04-03,04:00,ECRS,0.06,N,2024-04
2024-04-03,05:00,REGDN,0.56,N,2024-04
2024-04-03,05:00,REGUP,1.33,N,2024-04
2024-04-03,05:00,NSPIN,1.0,N,2024-04
2024-04-03,05:00,RRS,1.0,N,2024-04
2024-04-03,05:00,ECRS,0.05,N,2024-04
2024-04-03,06:00,REGUP,1.8,N,2024-04
2024-04-03,06:00,REGDN,1.19,N,2024-04
2024-04-03,06:00,RRS,1.0,N,2024-04
2024-04-03,06:00,ECRS,0.82,N,2024-04
2024-04-03,06:00,NSPIN,1.0,N,2024-04
2024-04-03,07:00,REGUP,1.97,N,2024-04
2024-04-03,07:00,REGDN,1.97,N,2024-04
2024-04-03,07:00,RRS,1.97,N,2024-04
2024-04-03,07:00,NSPIN,6.49,N,2024-04
2024-04-03,07:00,ECRS,1.97,N,2024-04
2024-04-03,08:00,REGDN,2.14,N,2024-04
2024-04-03,08:00,REGUP,1.97,N,2024-04
2024-04-03,08:00,RRS,3.51,N,2024-04
2024-04-03,08:00,NSPIN,5.0,N,2024-04
2024-04-03,08:00,ECRS,3.51,N,2024-04
2024-04-03,09:00,REGUP,2.0,N,2024-04
2024-04-03,09:00,REGDN,2.0,N,2024-04
2024-04-03,09:00,RRS,2.49,N,2024-04
2024-04-03,09:00,ECRS,2.49,N,2024-04
2024-04-03,09:00,NSPIN,2.72,N,2024-04
2024-04-03,10:00,REGDN,1.57,N,2024-04
2024-04-03,10:00,REGUP,1.69,N,2024-04
2024-04-03,10:00,RRS,1.84,N,2024-04
2024-04-03,10:00,NSPIN,1.84,N,2024-04
2024-04-03,10:00,ECRS,1.84,N,2024-04
2024-04-03,11:00,REGDN,1.0,N,2024-04
2024-04-03,11:00,REGUP,1.48,N,2024-04
2024-04-03,11:00,RRS,1.15,N,2024-04
2024-04-03,11:00,NSPIN,1.96,N,2024-04
2024-04-03,11:00,ECRS,1.15,N,2024-04
2024-04-03,12:00,REGDN,0.99,N,2024-04
2024-04-03,12:00,REGUP,1.49,N,2024-04
2024-04-03,12:00,RRS,1.11,N,2024-04
2024-04-03,12:00,NSPIN,1.96,N,2024-04
2024-04-03,12:00,ECRS,1.11,N,2024-04
2024-04-03,13:00,NSPIN,1.75,N,2024-04
2024-04-03,13:00,RRS,1.0,N,2024-04
2024-04-03,13:00,REGUP,1.49,N,2024-04
2024-04-03,13:00,REGDN,0.99,N,2024-04
2024-04-03,13:00,ECRS,1.0,N,2024-04
2024-04-03,14:00,REGUP,1.49,N,2024-04
2024-04-03,14:00,RRS,1.04,N,2024-04
2024-04-03,14:00,NSPIN,1.75,N,2024-04
2024-04-03,14:00,ECRS,1.04,N,2024-04
2024-04-03,14:00,REGDN,0.99,N,2024-04
2024-04-03,15:00,NSPIN,1.5,N,2024-04
2024-04-03,15:00,ECRS,1.23,N,2024-04
2024-04-03,15:00,RRS,1.01,N,2024-04
2024-04-03,15:00,REGUP,1.49,N,2024-04
2024-04-03,15:00,REGDN,1.25,N,2024-04
2024-04-03,16:00,ECRS,1.26,N,2024-04
2024-04-03,16:00,NSPIN,1.75,N,2024-04
2024-04-03,16:00,RRS,1.01,N,2024-04
2024-04-03,16:00,REGUP,1.49,N,2024-04
2024-04-03,16:00,REGDN,1.42,N,2024-04
2024-04-03,17:00,NSPIN,1.85,N,2024-04
2024-04-03,17:00,ECRS,1.99,N,2024-04
2024-04-03,17:00,RRS,1.02,N,2024-04
2024-04-03,17:00,REGUP,1.97,N,2024-04
2024-04-03,17:00,REGDN,1.49,N,2024-04
2024-04-03,18:00,ECRS,2.0,N,2024-04
2024-04-03,18:00,NSPIN,2.72,N,2024-04
2024-04-03,18:00,RRS,1.03,N,2024-04
2024-04-03,18:00,REGUP,1.98,N,2024-04
2024-04-03,18:00,REGDN,2.2,N,2024-04
2024-04-03,19:00,NSPIN,4.93,N,2024-04
2024-04-03,19:00,ECRS,4.93,N,2024-04
2024-04-03,19:00,RRS,2.71,N,2024-04
2024-04-03,19:00,REGUP,5.0,N,2024-04
2024-04-03,19:00,REGDN,6.14,N,2024-04
2024-04-03,20:00,ECRS,56.37,N,2024-04
2024-04-03,20:00,NSPIN,56.37,N,2024-04
2024-04-03,20:00,RRS,38.36,N,2024-04
2024-04-03,20:00,REGUP,38.87,N,2024-04
2024-04-03,20:00,REGDN,18.49,N,2024-04
2024-04-03,21:00,NSPIN,50.8,N,2024-04
